Crop,Province,Soil type,"unit (bu, t, etc)",Expected yield per acre,Expected market price $/unit,Crop Sales $/acre,Seed / Cleaning and Treatment,Fertilizer,NPKS blend,Chemical,Hail / Crop Insurance,Trucking and Marketing,Fuel Oil Lube,Machinery Repairs,Building Repairs,Irrigation: Pumping Costs,Custom Work,Labour (Paid and Unpaid),Utilities and Miscellaneous,Operating Interest,Total Costs $/Acre,Contribution Margin,Total Cost Per Unit,Break Even-Yield,Herbicide Cost,Nitrogen $/Tonne,Phosphorus $/Tonne,Variable Cost $/acre,Fixed Cost $/Acre
Edible Green Peas,Saskatchewan,Black,bu,61.4,9,552.6,62.38,27.05,NA,81.98,5.23,0,21.52,11.49,0.88,0,20.3,0,4.88,4.62,359.02,0,0,39.89,45.08,520,645,239.45,119.57
Edible Yellow Peas,Saskatchewan,Brown,bu,43.4,7.5,325.5,42.58,19.01,NA,98.53,4.8,0,13.77,9,0.49,0,20.3,0,3.23,4.15,310.72,0,0,41.43,61.63,520,645,215.38,95.34
Edible Yellow Peas,Saskatchewan,Dark Brown,bu,52.9,7.5,396.75,48.75,23.06,NA,98.53,4.48,0,17.21,10.15,0.65,0,20.3,0,4.23,4.46,340.71,0,0,45.43,61.63,520,645,231.18,109.53
Edible Yellow Peas,Saskatchewan,Black,bu,61.4,7.5,460.5,54.68,27.05,NA,81.98,5.23,0,21.52,11.49,0.88,0,20.3,0,4.88,4.47,351.18,0,0,46.82,45.08,520,645,231.6,119.57
Black Bean,Saskatchewan,Dark Brown,lb,1200,0.33,396,85.14,12.89,NA,128.09,13.4,0,17.21,10.15,0.65,0,19.8,0,4.23,5.72,406.17,0,0,1230.82,56.33,520,645,296.64,109.53
Faba Bean,Saskatchewan,Black,lb,3902,0.12,468.24,42.23,29.38,NA,107.51,10.81,0,19.93,11.49,0.88,0,19.8,0,4.88,4.84,370.45,0,0,3087.08,58.54,520,645,250.88,119.57
Camelina,Saskatchewan,Brown,lb,1852,0.22,407.44,21,54.94,NA,9.6,4.88,0,19.03,9,0.49,0,20.3,0,3.23,2.79,240.11,0,0,1091.41,9.6,520,645,144.77,95.34
Canary Seed,Saskatchewan,Dark Brown,lb,1918,0.28,537.04,18.2,72.93,NA,63.96,7.35,0,18.12,10.15,0.65,0,22.05,0,4.23,4.27,330.79,0,0,1181.4,42.15,520,645,221.26,109.53
Caraway (Second Season),Saskatchewan,Black,lb,850,0.5,425,6.03,64.66,NA,32.58,17.69,0,36.24,22.98,1.76,0,19.8,0,4.88,4.03,431.47,0,0,862.93,32.58,520,645,208.89,222.58
Caraway (First Season),Saskatchewan,Dark Brown,lb,1565,0.35,547.75,12.31,61.07,NA,98.16,11.09,0,18.12,10.15,0.65,0,19.8,0,4.23,4.62,349.08,0,0,997.37,63.17,520,645,239.55,109.53
Coriander,Saskatchewan,Dark Brown,lb,1565,0.35,547.75,12.31,61.07,NA,98.16,11.09,0,18.12,10.15,0.65,0,19.8,0,4.23,4.62,349.08,0,0,997.37,63.17,520,645,239.55,109.53
Fenugreek,Saskatchewan,Brown,lb,1175,0.26,305.5,15,8.09,NA,25.68,0,0,15.4,9,0.49,0,19.8,0,3.23,1.89,193.43,0,0,743.94,25.68,520,645,98.08,95.34
Quinoa,Saskatchewan,Black,lb,1000,0.65,650,63.5,34.45,NA,28.42,20.93,0,15.4,11.49,0.88,0,19.8,0,4.88,3.91,322.37,0,0,495.96,9.6,520,645,202.8,119.57
Fallow,Saskatchewan,NA,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summer Fallow,Saskatchewan,NA,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canola,Manitoba,Black,bu,45,11.25,506.25,67.5,88.16,NA,30.91,14.12,0,20.82,12.88,0,0,0,4.8,7.75,6.01,433.66,0,0,38.6,14.41,790,700,273.06,136.6
Wheat - Hard Red Spring,Manitoba,Black,bu,61,6.75,411.75,29,76.9,NA,47.23,12.99,0,21.64,12.88,0,0,0,4.8,7.75,5.29,401,0,0,59.5,30.73,790,700,240.4,136.6
Soybeans,Manitoba,Black,bu,37,11.4,421.8,93.38,23.88,NA,10.47,20.41,0,18.71,12.88,0,0,0,4.8,7.75,4.76,376.84,0,0,33.1,10.47,790,700,216.25,136.6
Oats,Manitoba,Black,bu,110,3.75,412.5,19.38,57.42,NA,19.63,17.47,0,25.79,12.88,0,0,0,4.8,7.75,4.33,357.54,0,0,95.3,9.38,790,700,196.94,136.6
Corn,Manitoba,Black,bu,135,4.75,641.25,96,112.21,NA,27.45,27.64,0,26.59,12.88,0,0,0,4.8,42.75,8.56,557.89,0,0,117.5,27.45,790,700,389.21,144.68
Barley,Manitoba,Black,bu,80,4.75,380,18,62.53,NA,51.5,14.65,0,23.3,12.88,0,0,0,4.8,7.75,4.94,385.03,0,0,81.1,35,790,700,224.44,136.6
Wheat - Northern Hard Red,Manitoba,Black,bu,70,6.25,437.5,27,83.87,NA,47.23,15.13,0,22.38,12.88,0,0,0,4.8,7.75,5.49,410.09,0,0,65.6,30.73,790,700,249.49,136.6
Peas,Manitoba,Black,bu,46,8,368,50.49,18.82,NA,34.25,21.17,0,17.93,12.88,0,0,0,4.8,7.75,4.24,353.15,0,0,44.1,14.75,790,700,192.55,136.6
Hybrid Fall Rye,Manitoba,Black,bu,73,5.25,383.25,12,93.17,NA,7.5,18.03,0,18.81,12.88,0,0,0,4.8,7.75,4.46,363.28,0,0,69.2,7.5,790,700,202.69,136.6
Wheat - Winter,Manitoba,Black,bu,67,5.75,385.25,25,79.22,NA,30.98,12.74,0,22.13,12.88,0,0,0,4.8,7.75,4.91,383.62,0,0,67,14.48,790,700,223.02,136.6
Beans - Pinto,Manitoba,Black,lb,1900,0.33,627,82.5,47.74,NA,96.23,33.77,0,17.5,12.88,0,0,0,4.8,7.75,7.24,494.99,0,0,1500,67.66,790,700,329.01,141.98
Wheat - Prairie Spring,Manitoba,Black,bu,70,5.75,402.5,27,83.87,NA,47.23,13.01,0,22.38,12.88,0,0,0,4.8,7.75,5.44,407.91,0,0,71,30.73,790,700,247.31,136.6
Flaxseed,Manitoba,Black,bu,25,14,350,25.2,38.44,NA,35.13,16.67,0,19.67,12.88,0,0,0,4.8,7.75,4.01,342.99,0,0,24.4,20.63,790,700,182.39,136.6
Sunflower Oil,Manitoba,Black,lb,1800,0.25,450,40,72.58,NA,28.59,20.21,0,21.36,21.38,0,0,0,4.8,17.75,5.62,424.14,0,0,1696.7,28.59,790,700,255.46,144.68
Beans - White,Manitoba,Black,lb,1750,0.35,612.5,78.1,52.39,NA,100.39,30.5,0,17.3,12.88,0,0,0,4.8,7.75,7.25,495.65,0,0,1416.3,67.66,790,700,329.66,141.98
Sunflower Confection,Manitoba,Black,lb,1700,0.3,510,49.5,72.58,NA,72.32,32.62,0,21.03,29.88,0,0,0,4.8,17.75,7.27,499.14,0,0,1663.9,46.19,790,700,330.47,144.68
Wheat - Other Spring,Manitoba,Black,bu,63,5.75,362.25,27,76.9,NA,47.23,14.72,0,21.8,12.88,0,0,0,4.8,7.75,5.29,401.12,0,0,70,30.73,790,700,240.52,136.6
Fallow,Manitoba,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summer Fallow,Manitoba,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coloured Beans,Ontario,Eastern Canada,cwt,19,36,684,149.86,43.14,NA,121.65,25.65,13.62,47.1,49.15,0,0,56,25.1,11.65,13.12,670.28,127.22,0,0,71.4,790,700,556.78,113.5
Grain Corn,Ontario,Eastern Canada,bu,174,4.96,228.29,111.68,138.24,NA,26.4,11.6,39.78,37.85,27.8,0,0,23,15.3,0,12.86,634.75,289.19,0,0,26.4,790,700,573.85,60.9
Alfalfa Hay,Ontario,Eastern Canada,t,3.5,220,380.89,74.17,42.44,na,15.4,22.3,0,28.1,18.6,0,0,88.4,27.85,0,7,389.11,407.49,0,0,15.4,790,700,362.51,26.6
Hard Red Spring Wheat,Ontario,Eastern Canada,bu,56,6.4,289.49,70,101.37,na,26.95,8.5,13.72,34.75,34.25,0,0,34,26.55,0,8.45,443.31,359.69,0,0,10.55,790,700,373.11,70.2
Hard Red Winter Wheat,Ontario,Eastern Canada,bu,82,7.27,523.04,71.4,116.97,NA,37.45,10.25,21.01,34.75,33.75,0,0,46,26.55,0,15.62,497.9,594,0,0,10.55,790,700,427,70.9
Hard Red Winter Wheat - No Tillage,Ontario,Eastern Canada,bu,82,7.27,544.57,71.4,146.61,na,37.45,10.25,21.01,25.25,22.5,0,0,46,22.55,0,15.83,476.37,588,0,0,10.55,790,700,432.47,43.9
Northern Ontario Barley,Ontario,Eastern Canada,bu,70,5.3,257.74,58.8,98.35,na,36.55,7,15.5,34.75,34.25,0,0,34,26.55,0,8.49,444.46,328,0,0,21.15,790,700,374.26,70.2
Southern Ontario Barley,Ontario,Eastern Canada,bu,70,5.3,271.74,58.8,84.69,na,36.55,7,15.5,34.75,34.25,0,0,34,26.55,0,8.15,430.46,341.94,0,0,21.15,790,700,360.26,70.2
Northern Ontario Oats,Ontario,Eastern Canada,bu,81,3.95,296.71,47,93.05,na,24.4,7,14.04,34.75,34.25,0,0,34,26.55,0,7.71,412.04,366.91,0,0,8,790,700,341.84,70.2
Southern Ontario Oats,Ontario ,Eastern Canada,bu,81,3.95,307.99,46.75,82.2,na,24.4,7,14.04,34.75,34.25,0,0,34,26.55,0,7.44,400.76,378.19,0,0,8,790,700,330.56,70.2
Spring Canola HT,Ontario,Eastern Canada,t,1,493,41.21,79.99,101.85,na,55.5,16.05,13,31.05,23.2,0,0,45,15.5,0,9.35,451.79,93.06,0,0,12.2,790,700,399.94,51.85
Corn Silage,Ontario,Eastern Canada,t,16,39,33.95,111.68,225.38,na,26.4,11.6,0,19.7,18.5,0,0,23,8.9,0,13.25,590.05,75.6,0,0,26.4,790,700,548.4,41.65
Soybeans,Ontario,Eastern Canada,bu,47,11.4,165.39,61.68,46.14,na,69.95,7.85,13.42,28.6,26.45,0,0,23,12.65,0,7.19,370.41,224.59,0,0,69.95,790,700,311.21,59.2
Soybeans - no till,Ontario,Eastern Canada,bu,47,11.4,195.89,61.68,46.14,na,82.7,7.85,13.42,19.1,14.15,0,0,34,8.65,0,7.14,339.91,226.69,0,0,82.7,790,700,309.11,30.8
Soybeans - roundup ready,Ontario,Eastern Canada,bu,47,11.4,228.02,85.92,46.14,na,27.1,7.85,13.42,19.1,14.15,0,0,34,8.65,0,6.37,307.78,258.82,0,0,27.1,790,700,276.98,30.8
Switchgrass - direct,Ontario,Eastern Canada,t,4,180,410,119.99,37.58,na,0,0,0,20.15,31.7,0,0,93.4,12.95,0,5,310.28,482.07,0,0,0,790,700,237.93,72.35
Switchgrass - direct no till,Ontario,Eastern Canada,t,4,180,412.32,119.99,0,na,12.75,0,0,25.85,44.45,0,0,104.4,17.25,0,9,307.68,484.67,0,0,12.75,790,700,235.33,72.35
Switchgrass - underseeded,Ontario,Eastern Canada,t,4,180,436.63,119.99,68.4,na,10.55,8.5,0,20.15,31.7,0,0,93.4,12.95,0,5,283.37,508.98,0,0,0,790,700,211.02,72.35
Switchgrass - underseeded no till,Ontario,Eastern Canada,t,4,180,439.28,119.99,68.4,na,23.3,8.5,0,20.15,31.7,0,0,93.4,12.95,0,5,280.72,511.63,0,0,0,790,700,208.37,72.35
Soft winter wheat,Ontario,Eastern Canada,bu,87,7.15,543.11,71.12,134.82,na,37.45,8.85,23.35,34.75,33.5,0,0,34,26.55,0,15.8,503.74,614.01,0,0,10.55,790,700,432.84,70.9
Soft winter wheat - no till,Ontario,Eastern Canada,bu,87,7.15,595.62,71.12,134.82,na,37.45,8.85,23.35,25.25,22.5,0,0,24,22.55,0,14.79,451.23,639.52,0,0,10.55,790,700,407.33,43.9
White Black Beans,Ontario,Eastern Canada,cwt,22,36,255.11,88.35,43.64,na,130.1,17.65,15.77,35,29.8,0,0,67,18.6,0,10.98,536.89,321.77,0,0,71.4,790,700,470.29,66.6
Winter canola-hybrid,Ontario,Eastern Canada,t,1.3,493,154.88,85.7,155.11,na,58.2,16.05,16.9,24.15,16.05,0,0,45,12.05,0,10.51,486.02,188.83,0,0,11.95,790,700,452.07,33.95
Flax,Ontario,Eastern Canada,bu,30,11.4,37.37,28.41,83.45,na,37.4,7.7,6.86,34.75,34.25,0,0,34,26.55,0,7.3,379.37,32.83,0,0,37.4,790,700,309.17,70.2
